attempt_id,transaction_id,attempt_number,attempt_timestamp,time_since_last_attempt,time_since_first_failure,is_near_payday,outcome,channel,success
att_6388b2709d,txn_e30ffb5e32,1,2024-03-06 01:12:29.566295,6.4896,6.4896,False,fail,auto_retry,0
att_6bdb7f6bdb,txn_e30ffb5e32,2,2024-03-06 18:38:32.502356,17.4341,23.9238,False,fail,email_prompt,0
att_1552ae8de7,txn_e30ffb5e32,3,2024-03-08 19:15:44.672656,48.62,72.5438,False,fail,sms_prompt,0
att_63d3dbe328,txn_e30ffb5e32,4,2024-03-12 18:01:47.817327,94.7675,167.3113,False,fail,sms_prompt,0
att_d7cd9a64a2,txn_b04417dfdc,1,2024-03-14 15:41:19.141377,5.0331,5.0331,False,success,auto_retry,1
att_0a39f85af2,txn_631f946859,1,2024-03-03 05:33:26.215824,5.177,5.177,False,success,auto_retry,1
att_04b46dce10,txn_2724182301,1,2024-03-02 01:34:40.929935,6.1239,6.1239,False,fail,auto_retry,0
att_4346bd5ab5,txn_2724182301,2,2024-03-02 19:55:26.971804,18.3461,24.47,False,fail,email_prompt,0
att_66dd56b3c6,txn_2724182301,3,2024-03-04 18:53:11.096167,46.9623,71.4322,False,fail,sms_prompt,0
att_f935b46867,txn_2724182301,4,2024-03-08 18:33:23.816004,95.6702,167.1024,False,fail,sms_prompt,0
att_105a42358a,txn_08189e84b1,1,2024-03-11 08:21:30.846949,6.8547,6.8547,False,fail,auto_retry,0
att_29cdfb79d1,txn_08189e84b1,2,2024-03-12 00:35:24.029130,16.2314,23.0861,False,fail,email_prompt,0
att_cb516e286e,txn_08189e84b1,3,2024-03-14 02:10:26.226956,49.5839,72.6701,False,success,sms_prompt,1
att_e17d8d22fc,txn_a55ad94e66,1,2024-03-08 23:16:00.367202,6.6298,6.6298,False,success,auto_retry,1
att_ca45c79090,txn_585b283d71,1,2024-03-07 01:27:42.528952,6.3676,6.3676,False,success,auto_retry,1
att_d05d891410,txn_455ae6252b,1,2024-03-07 12:37:03.343480,6.7787,6.7787,False,success,auto_retry,1
