customer_id,segment,historical_failure_rate
cust_ce58ab213c,returning,0.0644
cust_a2e1354a64,returning,0.1
cust_6444da814f,high_value,0.196
cust_f7448e222b,returning,0.0225
cust_4276252b27,new,0.1846
cust_85d91d5af2,high_value,0.0695
cust_4e27ba769d,returning,0.2332
cust_77743daa0b,returning,0.2323
cust_9b4fc8a68b,new,0.2128
cust_cbbdea3f02,returning,0.2834
cust_763ae91e8c,new,0.233
cust_b610d2062b,high_value,0.0803
cust_b6ba9f0687,returning,0.0417
cust_20622a1a5f,high_value,0.0535
cust_2c1e7f9832,returning,0.086
cust_9e66aa5f07,new,0.1816
cust_2f2e4e162a,returning,0.095
cust_2357a5f167,new,0.2929
cust_7347576cb5,high_value,0.0111
cust_bacd9bf518,returning,0.2037
cust_34f259ec4a,returning,0.0402
cust_16e537a621,new,0.121
cust_eec1643b01,high_value,0.1067
cust_848333691f,high_value,0.0644
cust_54b0a688b5,returning,0.0267
cust_b18f479106,new,0.2011
cust_c481783d10,returning,0.1095
cust_a09d2ee39b,new,0.0484
cust_72c05afd42,new,0.1682
cust_5f43b85dc6,returning,0.035
cust_28fd385402,returning,0.0712
cust_38270fc594,high_value,0.1402
cust_94d4ab9313,new,0.2238
cust_790bef348a,new,0.1479
cust_09304a5971,returning,0.1059
cust_360a2a7239,new,0.1703
cust_c60ee296fa,new,0.2198
cust_c11e7d00c3,returning,0.2702
cust_5b571b4898,new,0.3021
cust_9571973fd4,returning,0.105
cust_78705dcdc5,returning,0.135
cust_b097092b16,high_value,0.0
cust_abac6e55f5,returning,0.0667
cust_2f3aac4682,new,0.2011
cust_0cc1fee4ca,high_value,0.122
cust_680fbe5919,high_value,0.1338
cust_f2fa29f515,new,0.1034
cust_9ef31e8cf5,new,0.0238
cust_6012e19ef0,returning,0.1393
cust_d2b8c09894,new,0.1849
cust_6ec55b7410,new,0.2632
cust_9b5e8e7a48,new,0.0168
cust_2b5bd14d7c,returning,0.1481
cust_7f2414746c,returning,0.4907
cust_7b6156a827,returning,0.0409
cust_5c76848c0a,returning,0.1579
cust_1acd54ac3e,returning,0.2607
cust_4514a8eb50,returning,0.0612
cust_51124e03df,new,0.1197
